pre,寄附件数,寄附金額,寄附件数_県外,寄附金額_県外,返礼品の調達に係る費用,返礼品の送付に係る費用,広報に係る費用,決済等に係る費用,事務に係る費用
北海道,3168622,50358549924,3118714,48987269521,16437033669,6419762169,309522663,695831800,4446589374
青森県,215037,2843026253,196812,2486528755,758076684,281172254,43756185,31891470,304998102
岩手県,296086,5049679191,295478,5006185745,1673287712,444810138,105250639,45270428,549394411
宮城県,157533,4872952287,157022,4828954362,1736527647,244716518,46904894,79538407,290188123
秋田県,179663,2857455295,179588,2853066795,974141002,249073964,21498580,22880907,264896477
山形県,1134432,19550856021,1134081,18844937021,6453014343,1702130029,474232718,564989189,1210463753
福島県,128741,3474245828,128396,3452640029,1035203082,368437062,108272763,90669830,363208312
茨城県,485606,13643375000,485026,13614411282,4854912200,652974104,78914473,219417573,1132297539
栃木県,45824,1588318728,45236,1546444037,479253920,88901290,20611646,18828550,133818856
群馬県,78054,3063266794,77318,2914954143,872928237,103885764,53006875,44788174,134641397
埼玉県,81247,2371696223,79912,2290003601,612985256,124695048,28725009,32950089,211864437
千葉県,256772,4881168872,253596,4592135538,1621518274,411071589,46004059,71640939,282250929
東京都,23136,1907263822,15654,1143603757,159391460,17832892,25399219,6502754,55369982
神奈川県,143860,5343958327,115369,4091717494,1578421904,165938517,30914240,38917952,526364629
新潟県,394353,9554449886,394010,9489891139,3310062059,624696029,77943996,208850326,737510995
富山県,28326,667124663,28150,643934163,172645681,42712484,8821274,5468954,68037609
石川県,76133,2185716417,76024,2165205417,606573137,126866007,18838353,61041450,183074615
福井県,96164,2207586465,95190,2153669258,619017733,121047464,10135175,55609925,152585891
山梨県,299017,6079051876,298445,6059876444,1647055050,362463036,30654300,155169011,204217123
長野県,569566,12956198278,568975,12903218174,4013390082,712885431,95300324,166160544,706656538
岐阜県,531964,14631138819,528909,14519151936,4870886161,1545324867,40669453,313974513,1528300291
静岡県,977064,38327056917,968142,37692651178,16486224188,1381467460,209135326,858896428,2935980966
愛知県,215980,6960506767,199016,6507556546,1771427260,452445669,36673418,56588569,671519716
三重県,119104,2863558175,108652,2695420545,833734301,212495695,24710055,113060417,138968567
滋賀県,109430,3966749520,108751,3936226387,1309753484,159926701,58101802,218919802,196607770
京都府,51818,1676902337,49875,1499644697,373949790,71583246,9182635,15817833,152830285
大阪府,2788561,65635072835,2779048,64787426232,24980482580,3523427510,213977646,859406195,4251375109
兵庫県,286137,7646118393,279044,7166832284,2093378221,351577458,131106460,137851735,481733466
奈良県,57265,1451717643,54583,1199240003,446312014,97650142,7245033,22362557,71352118
和歌山県,885024,30298172888,884557,30280696976,13849634493,902011956,29883368,2937276468,1149752136
鳥取県,225755,4126789073,216717,3911601272,1125196045,365081883,180462973,68134881,217877933
島根県,153636,3564063949,153446,3547622333,960484966,401456185,14699775,82312759,285561341
岡山県,228538,5730553103,227350,5630359099,1885704572,646755424,22473857,100582591,252559235
広島県,88430,2144903587,84598,2043266582,308445545,84105297,7361272,17111313,125540054
山口県,58273,1586051941,56780,1490144715,440211285,100408651,46475375,13019493,108820022
徳島県,64430,1359418020,64086,1332293687,422414941,74901630,11572442,16299707,156176201
香川県,198768,3255479096,197801,3235226370,1092382226,232705069,26351441,45428754,214551999
愛媛県,138732,2781471603,138086,2755460600,667590221,161478517,16089939,68343472,121277019
高知県,790785,11460939168,790505,11434853168,3542498592,2315205935,337154138,427675398,576608409
福岡県,1653353,31025444953,1647768,30884930575,11151042393,2990812332,243571987,447548484,2188819291
佐賀県,1623990,42440946504,1622769,42404187458,18272933554,2300617106,442877534,438333149,5088002136
長崎県,438343,8682108977,437989,8668951914,2841023806,792672339,266727861,99993221,800419758
熊本県,406860,5744655943,295443,5644164937,1431468580,377728734,125579610,65188327,591766693
大分県,255978,5583936312,255924,5579894312,2087319058,548182204,86254620,176177176,406388402
宮崎県,1819822,28608026806,1819187,28648012606,10335901299,3593102724,241582143,476786891,2641881986
鹿児島県,1084347,22736644004,1083470,22153266074,7349958601,2478504079,420793551,488577809,2218963630
沖縄県,113267,2961971973,100859,2565276064,869030118,152892144,38846217,28394634,400134779
